,Quarter,Tm,Detail,BKN,PRT
0,2.0,Spartans,Elmer Schwartz unknown yard rush (Dutch Clark kick),0,7
1,2.0,Spartans,Louie Long blocked punt recovery in end zone (Dutch Clark kick),0,14
