,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,10:15,Saints,Alvin Kamara 2 yard rush (Wil Lutz kick),0,7
1,1.0,5:09,Panthers,Jonathan Stewart 2 yard rush (Graham Gano kick),7,7
2,2.0,11:32,Saints,Mark Ingram 3 yard rush (Wil Lutz kick),7,14
3,2.0,7:21,Saints,Michael Thomas 10 yard pass from Drew Brees (Wil Lutz kick),7,21
4,2.0,1:56,Panthers,Christian McCaffrey 21 yard pass from Cam Newton (Graham Gano kick),14,21
5,3.0,8:10,Saints,Alvin Kamara 20 yard rush (Wil Lutz kick),14,28
6,4.0,6:08,Saints,Wil Lutz 31 yard field goal,14,31
7,4.0,3:57,Panthers,Devin Funchess 24 yard pass from Cam Newton (Graham Gano kick),21,31
