,Quarter,Tm,Detail,NYJ,BUF
0,2.0,Jets,Bruce Harper 11 yard pass from Richard Todd (Pat Leahy kick),7,0
1,3.0,Jets,Pat Leahy 19 yard field goal,10,0
2,3.0,Jets,Mark Gastineau defensive fumble recovery in end zone (Pat Leahy kick),17,0
3,4.0,Bills,Joe Danelo 38 yard field goal,17,3
4,4.0,Jets,Johnny Hector 22 yard pass from Richard Todd (Pat Leahy kick),24,3
5,4.0,Bills,Joe Cribbs 12 yard pass from Matt Kofler (Joe Danelo kick),24,10
6,4.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),31,10
7,4.0,Jets,Pat Leahy 42 yard field goal,34,10
