,Quarter,Time,Tm,Detail,SDG,MIN
0,1.0,8:34,Chargers,Tremayne Stephens 1 yard rush (John Carney kick),7,0
1,2.0,14:55,Vikings,Randy Moss 34 yard pass from Jeff George (Gary Anderson kick),7,7
2,2.0,9:13,Vikings,Jake Reed 5 yard pass from Jeff George (Gary Anderson kick),7,14
3,2.0,5:55,Vikings,Cris Carter 4 yard pass from Jeff George (Gary Anderson kick),7,21
4,2.0,3:44,Vikings,Leroy Hoard 4 yard rush (Gary Anderson kick),7,28
5,3.0,14:40,Chargers,Kenny Bynum 80 yard pass from Jim Harbaugh (John Carney kick),14,28
6,3.0,10:33,Chargers,Tremayne Stephens 1 yard rush (John Carney kick),21,28
7,3.0,7:40,Chargers,John Carney 40 yard field goal,24,28
8,3.0,4:10,Vikings,Cris Carter 34 yard pass from Jeff George (Gary Anderson kick),24,35
9,4.0,11:41,Chargers,John Carney 40 yard field goal,27,35
