,Quarter,Tm,Detail,DET,STL
0,1.0,Lions,Errol Mann 52 yard field goal,3,0
1,2.0,Cardinals,Terry Metcalf 2 yard rush (Jim Bakken kick),3,7
2,2.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),10,7
3,2.0,Cardinals,Jim Bakken 43 yard field goal,10,10
4,2.0,Lions,Errol Mann 36 yard field goal,13,10
5,3.0,Cardinals,Jim Bakken 43 yard field goal,13,13
6,4.0,Lions,Charlie Sanders 5 yard pass from Bill Munson (Errol Mann kick),20,13
7,4.0,Cardinals,Jim Bakken 34 yard field goal,20,16
