,Quarter,Tm,Detail,TAM,DET
0,2.0,Buccaneers,Ricky Bell 4 yard rush (Allan Leavitt kick),7,0
1,3.0,Lions,Steve Mike-Mayer 47 yard field goal,7,3
2,4.0,Lions,Rick Kane 1 yard rush (pass failed),7,9
3,4.0,Lions,Reggie Pinkney 48 yard interception return (Steve Mike-Mayer kick),7,16
