,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,,Giants,Brad Daluiso 31 yard field goal,3,0
1,2.0,,Giants,Brad Daluiso 48 yard field goal,6,0
2,2.0,,Cardinals,Aeneas Williams 30 yard interception return,6,6
3,3.0,,Giants,David Patten 9 yard pass from Danny Kanell (Brad Daluiso kick),13,6
4,4.0,,Giants,Tyrone Wheatley 8 yard rush (Brad Daluiso kick),20,6
5,4.0,,Giants,Erric Pegram 18 yard rush (Brad Daluiso kick),27,6
6,4.0,,Cardinals,Stoney Case 1 yard rush (Kevin Butler kick),27,13
