,Quarter,Tm,Detail,CRD,NYG
0,1,Cardinals,Hal Pangle 2 yard rush,6,0
1,3,Giants,Max Krause 7 yard pass from Ed Danowski (Tillie Manton kick),6,7
2,4,Giants,Red Corzine 36 yard pass from Tuffy Leemans (Tillie Manton kick),6,14
