,Quarter,Time,Tm,Detail,PIT,CLE
0,1.0,3:47,Browns,Phil Dawson 29 yard field goal,0,3
1,2.0,7:20,Browns,Phil Dawson 29 yard field goal,0,6
2,2.0,0:41,Browns,Chris Jennings 10 yard rush (Phil Dawson kick),0,13
3,2.0,0:00,Steelers,Jeff Reed 27 yard field goal,3,13
4,3.0,0:08,Steelers,Jeff Reed 42 yard field goal,6,13
