,Quarter,Time,Tm,Detail,JAX,BUF
0,1.0,,Jaguars,Mark Brunell 13 yard rush (Mike Hollis kick),7,0
1,2.0,,Jaguars,Natrone Means 2 yard rush (Mike Hollis kick),14,0
2,2.0,,Bills,Steve Christie 38 yard field goal,14,3
3,3.0,,Jaguars,Mike Hollis 19 yard field goal,17,3
4,4.0,,Bills,Steve Christie 31 yard field goal,17,6
5,4.0,,Bills,Antowain Smith 1 yard rush (Eric Moulds pass from Alex Van Pelt),17,14
6,4.0,,Jaguars,Mike Hollis 47 yard field goal,20,14
