,Quarter,Tm,Detail,NYG,PRT
0,3.0,Giants,Hap Moran 16 yard pass from Mack Flenniken,6,0
1,4.0,Spartans,Glenn Presnell 37 yard rush (Dutch Clark kick),6,7
2,4.0,Spartans,Dutch Clark 2 yard rush (Dutch Clark kick),6,14
