,Quarter,Time,Tm,Detail,NWE,CLE
0,2.0,,Browns,Matt Stover 33 yard field goal,0,3
1,3.0,,Patriots,Matt Bahr 20 yard field goal,3,3
2,4.0,,Browns,Leroy Hoard 1 yard pass from Mark Rypien (Matt Stover kick),3,10
3,4.0,,Browns,Matt Stover 41 yard field goal,3,13
4,4.0,,Patriots,Matt Bahr 39 yard field goal,6,13
