,Quarter,Time,Tm,Detail,IND,DEN
0,1.0,5:14,Broncos,Brandon McManus 21 yard field goal,0,3
1,2.0,14:14,Broncos,Julius Thomas 3 yard pass from Peyton Manning (Brandon McManus kick),0,10
2,2.0,6:41,Broncos,Julius Thomas 35 yard pass from Peyton Manning (Brandon McManus kick),0,17
3,2.0,1:57,Broncos,Julius Thomas 5 yard pass from Peyton Manning (Brandon McManus kick),0,24
4,2.0,0:19,Colts,Andrew Luck 9 yard rush (Adam Vinatieri kick),7,24
5,3.0,1:31,Colts,Adam Vinatieri 25 yard field goal,10,24
6,4.0,9:54,Broncos,Montee Ball 3 yard rush (Brandon McManus kick),10,31
7,4.0,7:46,Colts,Dwayne Allen 41 yard pass from Andrew Luck (Adam Vinatieri kick),17,31
8,4.0,3:26,Colts,Hakeem Nicks 9 yard pass from Andrew Luck (Adam Vinatieri kick),24,31
