,Quarter,Time,Tm,Detail,IND,NYJ
0,1,,Jets,Charles Wilson 5 yard pass from Boomer Esiason (Nick Lowery kick),0,7
1,1,,Jets,Otis Smith 49 yard interception return (Nick Lowery kick),0,14
2,2,,Jets,Nick Lowery 28 yard field goal,0,17
3,2,,Colts,Mike Cofer 20 yard field goal,3,17
4,3,,Jets,Wayne Chrebet 5 yard pass from Boomer Esiason (Nick Lowery kick),3,24
5,3,,Colts,Tony Bennett 32 yard defensive fumble return (Mike Cofer kick),10,24
6,4,,Colts,Sean Dawkins 15 yard pass from Jim Harbaugh (Mike Cofer kick),17,24
7,4,,Colts,Marshall Faulk 14 yard pass from Jim Harbaugh (Mike Cofer kick),24,24
8,OT,,Colts,Mike Cofer 52 yard field goal,27,24
