,Quarter,Time,Tm,Detail,SEA,DEN
0,1,12:51,Broncos,Chris Watson 81 yard punt return (Jason Elam kick),0,7
1,1,10:43,Seahawks,Mike Pritchard 16 yard pass from Jon Kitna (Todd Peterson kick),7,7
2,1,5:54,Broncos,Rod Smith 14 yard pass from Brian Griese (Jason Elam kick),7,14
3,2,6:48,Broncos,Jason Elam 28 yard field goal,7,17
4,2,4:07,Seahawks,Ricky Watters 1 yard rush (Todd Peterson kick),14,17
5,3,9:01,Broncos,Jason Elam 46 yard field goal,14,20
6,3,5:41,Seahawks,Todd Peterson 40 yard field goal,17,20
7,3,0:01,Broncos,Jason Elam 33 yard field goal,17,23
8,4,3:41,Seahawks,Todd Peterson 32 yard field goal,20,23
9,4,1:47,Broncos,Dwayne Carswell 9 yard pass from Brian Griese (Jason Elam kick),20,30
10,4,0:54,Seahawks,Derrick Mayes 36 yard pass from Jon Kitna (Todd Peterson kick),27,30
11,4,0:09,Seahawks,Todd Peterson 45 yard field goal,30,30
12,OT,0:00,Broncos,Glenn Cadrez 37 yard defensive fumble return,30,36
