,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,,Lions,Jason Hanson 39 yard field goal,0,3
1,1.0,,Vikings,Fuad Reveiz 34 yard field goal,3,3
2,1.0,9:14,Lions,Mel Gray 98 yard kickoff return (Jason Hanson kick),3,10
3,2.0,9:14,Vikings,Jake Reed 20 yard pass from Warren Moon (Fuad Reveiz kick),10,10
4,2.0,9:14,Lions,Jason Hanson 41 yard field goal,10,13
5,2.0,9:14,Lions,Johnnie Morton 18 yard pass from Dave Krieg (Jason Hanson kick),10,20
6,2.0,9:14,Vikings,Fuad Reveiz 26 yard field goal,13,20
7,3.0,9:14,Lions,Barry Sanders 18 yard rush (Jason Hanson kick),13,27
8,3.0,9:14,Vikings,Fuad Reveiz 37 yard field goal,16,27
9,3.0,9:14,Vikings,Fuad Reveiz 48 yard field goal,19,27
10,3.0,9:14,Lions,Barry Sanders 64 yard rush (Jason Hanson kick),19,34
11,4.0,9:14,Lions,Anthony Carter 4 yard pass from Dave Krieg (Jason Hanson kick),19,41
