,Quarter,Time,Tm,Detail,GNB,PHI
0,1.0,9:51,Packers,Davante Adams 12 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,1.0,3:40,Eagles,Carson Wentz 1 yard rush (Caleb Sturgis kick),7,7
2,2.0,14:53,Packers,Davante Adams 20 yard pass from Aaron Rodgers (Mason Crosby kick),14,7
3,2.0,0:25,Eagles,Caleb Sturgis 48 yard field goal,14,10
4,3.0,8:48,Packers,Mason Crosby 33 yard field goal,17,10
5,3.0,5:21,Eagles,Caleb Sturgis 50 yard field goal,17,13
6,4.0,13:53,Packers,Aaron Ripkowski 1 yard rush (Mason Crosby kick),24,13
7,4.0,1:57,Packers,Mason Crosby 32 yard field goal,27,13
