,Quarter,Time,Tm,Detail,ARI,ATL
0,1.0,11:39,Falcons,Levine Toilolo 1 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,1.0,8:13,Falcons,Matt Bryant 20 yard field goal,0,10
2,1.0,5:48,Falcons,Julio Jones 32 yard pass from Matt Ryan (Matt Bryant kick),0,17
3,2.0,14:07,Cardinals,Rashad Johnson 88 yard interception return (Chandler Catanzaro kick),7,17
4,2.0,2:42,Cardinals,Chandler Catanzaro 44 yard field goal,10,17
5,2.0,0:00,Falcons,Matt Bryant 23 yard field goal,10,20
6,3.0,6:13,Falcons,Matt Bryant 21 yard field goal,10,23
7,4.0,12:35,Falcons,Matt Bryant 45 yard field goal,10,26
8,4.0,2:30,Falcons,Matt Bryant 28 yard field goal,10,29
9,4.0,1:05,Cardinals,Stepfan Taylor 3 yard pass from Drew Stanton (Stepfan Taylor run),18,29
