,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Tony Hill 48 yard pass from Roger Staubach (Rafael Septien kick),0,7
1,1.0,Eagles,Harold Carmichael 32 yard pass from Ron Jaworski (Tony Franklin kick),7,7
2,2.0,Eagles,Charlie Smith 29 yard pass from John Walton (Tony Franklin kick),14,7
3,2.0,Eagles,Tony Franklin 59 yard field goal,17,7
4,3.0,Eagles,Harold Carmichael 13 yard pass from Ron Jaworski (Tony Franklin kick),24,7
5,4.0,Cowboys,Tony Hill 75 yard pass from Roger Staubach (Rafael Septien kick),24,14
6,4.0,Cowboys,Billy Joe DuPree 5 yard pass from Roger Staubach (Rafael Septien kick),24,21
7,4.0,Eagles,Wilbert Montgomery 37 yard rush (Tony Franklin kick),31,21
