,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Harry Sydney 1 yard rush (Mike Cofer kick),7,0
1,1.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),14,0
2,1.0,49ers,"Safety, Jordan tackled Turner in end zone",16,0
3,2.0,49ers,Harry Sydney 2 yard pass from Steve Bono (Mike Cofer kick),23,0
4,2.0,49ers,Dexter Carter 3 yard rush (Mike Cofer kick),30,0
5,2.0,Rams,Tony Zendejas 37 yard field goal,30,3
6,3.0,Rams,Marcus Dupree 1 yard rush (Tony Zendejas kick),30,10
7,4.0,49ers,Mike Cofer 39 yard field goal,33,10
