,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,3:05,Colts,Adam Vinatieri 21 yard field goal,0,3
1,2.0,12:00,Patriots,Randy Moss 4 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
2,2.0,7:34,Colts,Adam Vinatieri 25 yard field goal,7,6
3,2.0,0:13,Colts,Joseph Addai 73 yard pass from Peyton Manning (Adam Vinatieri kick),7,13
4,3.0,2:22,Patriots,Stephen Gostkowski 34 yard field goal,10,13
5,4.0,9:42,Colts,Peyton Manning 1 yard rush (Adam Vinatieri kick),10,20
6,4.0,7:59,Patriots,Wes Welker 3 yard pass from Tom Brady (Stephen Gostkowski kick),17,20
7,4.0,3:15,Patriots,Kevin Faulk 13 yard pass from Tom Brady (Stephen Gostkowski kick),24,20
