,Quarter,Tm,Detail,CIN,OAK
0,1.0,Raiders,George Blanda 49 yard field goal,0,3
1,1.0,Bengals,Doug Dressler 1 yard rush (Horst Muhlmann kick),7,3
2,1.0,Bengals,Boobie Clark 3 yard rush (Horst Muhlmann kick),14,3
3,2.0,Raiders,George Blanda 31 yard field goal,14,6
4,3.0,Raiders,Marv Hubbard 2 yard rush (George Blanda kick),14,13
5,3.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),14,20
6,4.0,Bengals,Bob Trumpy 10 yard pass from Ken Anderson (Horst Muhlmann kick),21,20
7,4.0,Raiders,George Blanda 18 yard field goal,21,23
8,4.0,Bengals,Doug Dressler 3 yard rush,27,23
9,4.0,Raiders,Charlie Smith 2 yard rush (George Blanda kick),27,30
