,Quarter,Tm,Detail,HOU,OAK
0,1.0,Raiders,Errol Mann 42 yard field goal,0,3
1,1.0,Raiders,Dave Casper 11 yard pass from Ken Stabler (Errol Mann kick),0,10
2,1.0,Oilers,Toni Fritsch 28 yard field goal,3,10
3,2.0,Oilers,Toni Fritsch 39 yard field goal,6,10
4,2.0,Oilers,Ken Burrough 41 yard pass from Dan Pastorini (Toni Fritsch kick),13,10
5,2.0,Raiders,Fred Biletnikoff 14 yard pass from Ken Stabler (Errol Mann kick),13,17
6,2.0,Oilers,Toni Fritsch 32 yard field goal,16,17
7,3.0,Oilers,Zeke Moore 66 yard defensive fumble return,22,17
8,3.0,Raiders,Mark van Eeghen 2 yard rush (Errol Mann kick),22,24
9,3.0,Oilers,Billy Johnson 71 yard pass from Dan Pastorini (Toni Fritsch kick),29,24
10,3.0,Raiders,Clarence Davis 3 yard rush (Errol Mann kick),29,31
11,4.0,Raiders,Errol Mann 25 yard field goal,29,34
