,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Cloyce Box 23 yard pass from Doak Walker (Doak Walker kick),0,7
1,1.0,Lions,Doak Walker 23 yard field goal,0,10
2,1.0,49ers,Gordie Soltau 5 yard pass from Y.A. Tittle (Gordie Soltau kick),7,10
3,2.0,49ers,Joe Arenas 10 yard rush (Gordie Soltau kick),14,10
4,2.0,Lions,Bob Hoernschemeyer 4 yard rush (Doak Walker kick),14,17
5,3.0,Lions,Leon Hart 36 yard pass from Bobby Layne (Doak Walker kick),14,24
6,3.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),21,24
