,Quarter,Tm,Detail,DAL,DEN
0,2.0,Broncos,Gerald Willhite 9 yard pass from John Elway (Rich Karlis kick),0,7
1,2.0,Broncos,"Safety, Jones tackled Pelluer in end zone",0,9
2,2.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),0,16
3,2.0,Broncos,Gerald Willhite 15 yard pass from John Elway,0,22
4,3.0,Cowboys,Herschel Walker 3 yard rush (Rafael Septien kick),7,22
5,4.0,Broncos,Gene Lang 12 yard pass from John Elway (Rich Karlis kick),7,29
6,4.0,Cowboys,Timmy Newsome 4 yard pass from Steve Pelluer (Rafael Septien kick),14,29
