,Quarter,Tm,Detail,MIN,PHI
0,1.0,Vikings,Fred Cox 14 yard field goal,3,0
1,2.0,Vikings,Dave Osborn 2 yard rush (Fred Cox kick),10,0
2,2.0,Vikings,Fred Cox 17 yard field goal,13,0
