,Quarter,Tm,Detail,TAM,GNB
0,2,Packers,Lynn Dickey 1 yard rush (Al Del Greco kick),0,7
1,3,Packers,Gerry Ellis 35 yard rush (Al Del Greco kick),0,14
2,4,Packers,Jessie Clark 3 yard rush (Al Del Greco kick),0,21
