,Quarter,Time,Tm,Detail,DAL,CAR
0,2.0,14:16,Cowboys,Dan Bailey 19 yard field goal,3,0
1,2.0,0:14,Panthers,Brandon LaFell 5 yard pass from Cam Newton (Justin Medlock kick),3,7
2,3.0,7:38,Cowboys,Miles Austin 26 yard pass from Tony Romo (Dan Bailey kick),10,7
3,3.0,2:13,Cowboys,Dan Bailey 49 yard field goal,13,7
4,4.0,11:38,Panthers,Mike Tolbert 2 yard rush (Justin Medlock kick),13,14
5,4.0,3:25,Cowboys,Dan Bailey 28 yard field goal,16,14
6,4.0,0:53,Cowboys,Dan Bailey 38 yard field goal,19,14
