,Quarter,Time,Tm,Detail,BUF,JAX
0,1.0,13:10,Bills,Dan Carpenter 42 yard field goal,3,0
1,1.0,8:07,Jaguars,Josh Scobee 32 yard field goal,3,3
2,2.0,14:54,Jaguars,Ace Sanders 12 yard pass from Chad Henne (Josh Scobee kick),3,10
3,2.0,7:07,Bills,Robert Woods 7 yard pass from EJ Manuel (Dan Carpenter kick),10,10
4,2.0,2:14,Bills,EJ Manuel 8 yard rush (Dan Carpenter kick),17,10
5,2.0,0:00,Bills,Dan Carpenter 40 yard field goal,20,10
6,3.0,4:43,Jaguars,Josh Scobee 55 yard field goal,20,13
7,4.0,13:50,Jaguars,Marcedes Lewis 13 yard pass from Chad Henne (Josh Scobee kick),20,20
8,4.0,9:35,Bills,Frank Summers 1 yard pass from EJ Manuel (Dan Carpenter kick),27,20
