,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,Don Woods 12 yard pass from James Harris (Rolf Benirschke kick),7,0
1,1.0,Chiefs,Henry Marshall 19 yard pass from Mike Livingston (Jan Stenerud kick),7,7
2,2.0,Chargers,Leroy Jones 17 yard interception return,13,7
3,2.0,Chargers,Rolf Benirschke 31 yard field goal,16,7
4,4.0,Chargers,Mike Fuller 7 yard rush (Rolf Benirschke kick),23,7
