,Quarter,Time,Tm,Detail,HOU,DAL
0,2,0:11,Cowboys,Dan Bailey 33 yard field goal,0,3
1,3,8:49,Texans,Arian Foster 15 yard rush (Randy Bullock kick),7,3
2,3,6:08,Cowboys,Terrance Williams 43 yard pass from Tony Romo (Dan Bailey kick),7,10
3,4,9:44,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),7,17
4,4,2:27,Texans,Randy Bullock 29 yard field goal,10,17
5,4,0:41,Texans,Arian Foster 1 yard rush (Randy Bullock kick),17,17
6,OT,7:45,Cowboys,Dan Bailey 49 yard field goal,17,20
