,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,7:57,Cowboys,David LaFleur 6 yard pass from Jason Garrett (Richie Cunningham kick),0,7
1,2.0,1:07,Packers,Ryan Longwell 38 yard field goal,3,7
2,2.0,6:57,Cowboys,Richie Cunningham 44 yard field goal,3,10
3,3.0,10:40,Cowboys,Rocket Ismail 37 yard pass from Jason Garrett (Richie Cunningham kick),3,17
4,4.0,0:23,Cowboys,Richie Cunningham 47 yard field goal,3,20
5,4.0,10:40,Packers,Antonio Freeman 28 yard pass from Brett Favre (Ryan Longwell kick),10,20
6,4.0,1:23,Packers,Ryan Longwell 31 yard field goal,13,20
7,4.0,1:23,Cowboys,George Teague 95 yard interception return (Richie Cunningham kick),13,27
