,Quarter,Tm,Detail,HOU,CIN
0,2.0,Bengals,Jim Breech 33 yard field goal,0,3
1,3.0,Oilers,Florian Kempf 24 yard field goal,3,3
2,3.0,Bengals,Boomer Esiason 3 yard rush (Jim Breech kick),3,10
3,4.0,Bengals,Jim Breech 22 yard field goal,3,13
