,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Clay Matthews 3 yard defensive fumble return (Matt Bahr kick),7,0
1,1.0,Browns,Matt Bahr 27 yard field goal,10,0
2,1.0,Browns,David Grayson 28 yard defensive fumble return (Matt Bahr kick),17,0
3,2.0,Browns,Matt Bahr 20 yard field goal,20,0
4,2.0,Browns,Tim Manoa 3 yard rush (Matt Bahr kick),27,0
5,2.0,Browns,Matt Bahr 27 yard field goal,30,0
6,3.0,Browns,Tim Manoa 2 yard rush (Matt Bahr kick),37,0
7,3.0,Browns,David Grayson 14 yard interception return (Matt Bahr kick),44,0
8,4.0,Browns,Mike Oliphant 21 yard rush (Matt Bahr kick),51,0
