,Quarter,Tm,Detail,DAL,SDG
0,1.0,Cowboys,Mike Montgomery 54 yard special teams fumble return (Toni Fritsch kick),7,0
1,1.0,Cowboys,Toni Fritsch 25 yard field goal,10,0
2,2.0,Cowboys,Walt Garrison 9 yard rush (Toni Fritsch kick),17,0
3,2.0,Cowboys,Mike Ditka 1 yard pass from Craig Morton (Toni Fritsch kick),24,0
4,3.0,Cowboys,Craig Morton 7 yard rush (Toni Fritsch kick),31,0
5,3.0,Chargers,Chuck Dicus 46 yard pass from John Hadl (Dennis Partee kick),31,7
6,4.0,Chargers,Gary Garrison 42 yard pass from John Hadl (Dennis Partee kick),31,14
7,4.0,Chargers,Chuck Dicus 20 yard pass from John Hadl (Dennis Partee kick),31,21
8,4.0,Cowboys,Toni Fritsch 31 yard field goal,34,21
9,4.0,Chargers,Dave Williams 47 yard pass from John Hadl (Dennis Partee kick),34,28
