,Quarter,Tm,Detail,MIA,NWE
0,1.0,Patriots,Ike Forte 1 yard rush (John Smith kick),0,7
1,1.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),0,14
2,2.0,Dolphins,Garo Yepremian 28 yard field goal,3,14
3,3.0,Dolphins,Nat Moore 23 yard pass from Bob Griese (Garo Yepremian kick),10,14
