,Quarter,Tm,Detail,DET,CIN
0,1.0,Bengals,Jim Breech 40 yard field goal,0,3
1,2.0,Lions,Jason Hanson 35 yard field goal,3,3
2,2.0,Lions,Jason Hanson 27 yard field goal,6,3
3,2.0,Bengals,Jim Breech 20 yard field goal,6,6
4,2.0,Lions,Jason Hanson 20 yard field goal,9,6
5,4.0,Lions,Barry Sanders 5 yard rush (Jason Hanson kick),16,6
6,4.0,Bengals,James Francis 66 yard interception return (Jim Breech kick),16,13
7,4.0,Lions,Jason Hanson 29 yard field goal,19,13
