,Quarter,Time,Tm,Detail,CIN,PIT
0,2.0,,Bengals,Darnay Scott 47 yard pass from Jeff Blake (Doug Pelfrey kick),7,0
1,2.0,,Steelers,Norm Johnson 25 yard field goal,7,3
2,2.0,,Bengals,Doug Pelfrey 31 yard field goal,10,3
3,3.0,,Bengals,Tony McGee 12 yard pass from Jeff Blake (Doug Pelfrey kick),17,3
4,3.0,,Steelers,Norm Johnson 28 yard field goal,17,6
5,3.0,,Bengals,Carl Pickens 41 yard pass from Jeff Blake (Doug Pelfrey kick),24,6
6,4.0,,Steelers,Norm Johnson 38 yard field goal,24,9
7,4.0,,Bengals,Doug Pelfrey 23 yard field goal,27,9
