,Quarter,Time,Tm,Detail,PHI,HOU
0,1.0,8:30,Eagles,Jeremy Maclin 59 yard pass from Nick Foles (Cody Parkey kick),7,0
1,1.0,3:11,Texans,A.J. Bouye 51 yard interception return (Randy Bullock kick),7,7
2,2.0,10:41,Eagles,Jordan Matthews 11 yard pass from Mark Sanchez (Cody Parkey kick),14,7
3,2.0,3:58,Texans,Arian Foster 56 yard pass from Ryan Fitzpatrick (Randy Bullock kick),14,14
4,2.0,0:00,Eagles,Cody Parkey 45 yard field goal,17,14
5,3.0,2:40,Eagles,Chris Polk 8 yard rush (Cody Parkey kick),24,14
6,4.0,11:51,Texans,DeAndre Hopkins 7 yard pass from Ryan Fitzpatrick (Randy Bullock kick),24,21
7,4.0,3:50,Eagles,Jeremy Maclin 8 yard pass from Mark Sanchez (Cody Parkey kick),31,21
