,Quarter,Time,Tm,Detail,NOR,MIN
0,2.0,,Vikings,Amp Lee 3 yard pass from Warren Moon (Fuad Reveiz kick),0,7
1,3.0,,Saints,Michael Haynes 34 yard pass from Jim Everett (Morten Andersen kick),7,7
2,3.0,,Vikings,Jake Reed 13 yard pass from Warren Moon (Fuad Reveiz kick),7,14
3,4.0,3:30,Saints,Wesley Walls 2 yard pass from Jim Everett (Morten Andersen kick),14,14
4,4.0,3:30,Saints,Morten Andersen 44 yard field goal,17,14
5,4.0,3:30,Saints,Morten Andersen 26 yard field goal,20,14
6,4.0,3:30,Vikings,Qadry Ismail 11 yard pass from Warren Moon (Fuad Reveiz kick),20,21
