,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Gary Anderson 48 yard field goal,3,0
1,2.0,Steelers,Greg Hawthorne 17 yard pass from Terry Bradshaw (Gary Anderson kick),10,0
2,2.0,Oilers,Florian Kempf 31 yard field goal,10,3
3,3.0,Oilers,Dave Casper 9 yard pass from Gifford Nielsen (Florian Kempf kick),10,10
4,3.0,Steelers,Bennie Cunningham 17 yard pass from Terry Bradshaw (Gary Anderson kick),17,10
5,4.0,Steelers,Jim Smith 27 yard pass from Terry Bradshaw (Gary Anderson kick),24,10
