,Quarter,Time,Tm,Detail,BAL,NYJ
0,1.0,,Ravens,Jermaine Lewis 69 yard punt return (Matt Stover kick),7,0
1,1.0,,Jets,Keyshawn Johnson 4 yard pass from Glenn Foley (John Hall kick),7,7
2,2.0,,Ravens,Eric Green 20 yard pass from Eric Zeier (Matt Stover kick),14,7
3,3.0,,Ravens,Matt Stover 29 yard field goal,17,7
4,3.0,,Jets,John Hall 20 yard field goal,17,10
5,4.0,,Ravens,Rod Woodson 60 yard interception return (Matt Stover kick),24,10
