,Quarter,Time,Tm,Detail,BAL,ATL
0,2.0,11:24,Falcons,Jason Snelling 28 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,2.0,0:17,Falcons,Matt Bryant 28 yard field goal,0,10
2,3.0,12:51,Falcons,Matt Bryant 51 yard field goal,0,13
3,3.0,6:50,Ravens,Anquan Boldin 5 yard pass from Joe Flacco (Billy Cundiff kick),7,13
4,4.0,11:34,Falcons,Roddy White 4 yard pass from Matt Ryan (Matt Bryant kick),7,20
5,4.0,5:42,Ravens,Derrick Mason 6 yard pass from Joe Flacco (Billy Cundiff kick),14,20
6,4.0,1:05,Ravens,Todd Heap 9 yard pass from Joe Flacco (Billy Cundiff kick),21,20
7,4.0,0:20,Falcons,Roddy White 33 yard pass from Matt Ryan (pass failed),21,26
