,Quarter,Tm,Detail,NWE,MIA
0,1.0,Dolphins,Nat Moore 6 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2.0,Dolphins,Duriel Harris 17 yard pass from Bob Griese,0,13
2,3.0,Dolphins,Gary Davis 1 yard rush (Garo Yepremian kick),0,20
3,4.0,Patriots,David Posey 35 yard field goal,3,20
4,4.0,Dolphins,Garo Yepremian 30 yard field goal,3,23
