,Quarter,Tm,Detail,HOU,CIN
0,2.0,Oilers,Ian Howfield 19 yard field goal,3,0
1,2.0,Oilers,Ian Howfield 21 yard field goal,6,0
2,3.0,Oilers,Allen Pinkett 31 yard rush (Ian Howfield kick),13,0
3,3.0,Bengals,Lynn James 18 yard pass from Boomer Esiason (Jim Breech kick),13,7
4,4.0,Oilers,Haywood Jeffires 22 yard pass from Warren Moon (Ian Howfield kick),20,7
5,4.0,Oilers,Lamar Lathon 52 yard interception return (Ian Howfield kick),27,7
6,4.0,Oilers,Ian Howfield 37 yard field goal,30,7
