,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Josh Ashton 1 yard rush (Charlie Gogolak kick),7,0
1,1.0,Bills,John Leypoldt 11 yard field goal,7,3
2,2.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),7,10
3,2.0,Bills,J.D. Hill 36 yard pass from Dennis Shaw (John Leypoldt kick),7,17
4,2.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),7,24
5,2.0,Bills,O.J. Simpson 11 yard rush (John Leypoldt kick),7,31
6,3.0,Bills,Bob Chandler 43 yard pass from Dennis Shaw (John Leypoldt kick),7,38
7,4.0,Patriots,Brian Dowling 1 yard rush (Charlie Gogolak kick),14,38
