,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Dick Van Raaphorst 10 yard field goal,0,3
1,1.0,Cowboys,Pettis Norman 8 yard pass from Don Meredith (Dick Van Raaphorst kick),0,10
2,3.0,Steelers,Dick Hoak 3 yard pass from Ed Brown (Mike Clark kick),7,10
3,4.0,Cowboys,Perry Lee Dunn 3 yard rush (Dick Van Raaphorst kick),7,17
4,4.0,Steelers,Gary Ballman 36 yard pass from Ed Brown (Mike Clark kick),14,17
