,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Brian Brennan 6 yard pass from Gary Danielson (Jeff Jaeger kick),7,0
1,2.0,Browns,Derek Tennell 3 yard pass from Gary Danielson (Jeff Jaeger kick),14,0
2,2.0,Browns,Jeff Jaeger 45 yard field goal,17,0
3,2.0,Browns,Perry Kemp 22 yard pass from Gary Danielson (Jeff Jaeger kick),24,0
4,3.0,Browns,Jeff Jaeger 33 yard field goal,27,0
5,4.0,Browns,Perry Kemp 19 yard pass from Gary Danielson (Jeff Jaeger kick),34,0
