,Quarter,Time,Tm,Detail,KAN,HOU
0,1.0,8:37,Chiefs,Priest Holmes 6 yard rush (Morten Andersen kick),7,0
1,2.0,5:47,Texans,Andre Johnson 43 yard pass from David Carr (Kris Brown kick),7,7
2,2.0,0:13,Chiefs,Priest Holmes 5 yard rush (Morten Andersen kick),14,7
3,3.0,3:14,Chiefs,Eddie Kennison 15 yard pass from Trent Green (Morten Andersen kick),21,7
4,3.0,1:28,Chiefs,Dante Hall 73 yard punt return (Morten Andersen kick),28,7
5,4.0,13:58,Chiefs,Derrick Blaylock 20 yard rush (Morten Andersen kick),35,7
6,4.0,7:00,Chiefs,Shaunard Harts 39 yard interception return (Morten Andersen kick),42,7
7,4.0,1:54,Texans,Andre Johnson 4 yard pass from Tony Banks (Kris Brown kick),42,14
