,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Sammy White 33 yard pass from Fran Tarkenton (Rick Danmeier kick),7,0
1,1.0,Vikings,Matt Blair 49 yard touchdown on a lateral (Rick Danmeier kick),14,0
2,1.0,Bears,Walter Payton 3 yard rush (Bob Thomas kick),14,7
3,2.0,Bears,Bob Thomas 27 yard field goal,14,10
4,3.0,Bears,Bob Thomas 32 yard field goal,14,13
5,3.0,Vikings,Chuck Foreman 1 yard rush (Rick Danmeier kick),21,13
6,4.0,Vikings,Rick Danmeier 29 yard field goal,24,13
7,4.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),24,20
