,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,,Eagles,Herschel Walker 32 yard pass from Randall Cunningham (Eddie Murray kick),7,0
1,2.0,,Cowboys,Emmitt Smith 2 yard rush (Chris Boniol kick),7,7
2,2.0,,Cowboys,Alvin Harper 16 yard pass from Troy Aikman (Chris Boniol kick),7,14
3,3.0,,Cowboys,Jay Novacek 14 yard pass from Troy Aikman (Chris Boniol kick),7,21
4,4.0,,Cowboys,Chris Boniol 37 yard field goal,7,24
5,4.0,,Eagles,James Joseph 34 yard rush (run failed),13,24
