,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Dick Bass 49 yard rush (Bruce Gossett kick),0,7
1,1.0,Rams,Terry Baker 38 yard pass from Roman Gabriel (Bruce Gossett kick),0,14
2,1.0,Vikings,Gordie Smith 3 yard pass from Fran Tarkenton (Fred Cox kick),7,14
3,2.0,Vikings,Lonnie Warwick 10 yard blocked punt return (Fred Cox kick),14,14
4,2.0,Vikings,Tommy Mason 7 yard rush (Fred Cox kick),21,14
5,2.0,Vikings,Red Phillips 3 yard pass from Fran Tarkenton (Fred Cox kick),28,14
6,3.0,Rams,Marlin McKeever 5 yard pass from Bill Munson (Bruce Gossett kick),28,21
7,3.0,Vikings,Bill Brown 2 yard rush (Fred Cox kick),35,21
8,3.0,Rams,Dick Bass 28 yard pass from Bill Munson (Bruce Gossett kick),35,28
9,4.0,Rams,Jack Snow 9 yard pass from Bill Munson (Bruce Gossett kick),35,35
10,4.0,Vikings,Fred Cox 14 yard field goal,38,35
