,Quarter,Time,Tm,Detail,TAM,CIN
0,1.0,,Buccaneers,Robb Thomas 50 yard pass from Trent Dilfer (Michael Husted kick),7,0
1,1.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),14,0
2,2.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),21,0
3,2.0,,Buccaneers,Reidel Anthony 4 yard pass from Trent Dilfer (Michael Husted kick),28,0
4,4.0,,Buccaneers,Mike Alstott 3 yard rush (Michael Husted kick),35,0
