,Quarter,Tm,Detail,TAM,DEN
0,1.0,Broncos,Reggie Rivers 5 yard rush (Jason Elam kick),0,7
1,2.0,Buccaneers,Dave Moore 19 yard pass from Craig Erickson (Michael Husted kick),7,7
2,2.0,Buccaneers,Michael Husted 48 yard field goal,10,7
3,3.0,Buccaneers,Courtney Hawkins 14 yard pass from Craig Erickson (Michael Husted kick),17,7
4,3.0,Broncos,Jason Elam 24 yard field goal,17,10
