,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Jets,Freeman McNeil 34 yard rush (Pat Leahy kick),0,7
1,1.0,Jets,Pat Leahy 43 yard field goal,0,10
2,2.0,Jets,Mike Augustyniak 1 yard rush (Pat Leahy kick),0,17
3,2.0,Jets,Lam Jones 23 yard pass from Richard Todd (Pat Leahy kick),0,24
4,2.0,Jets,Pat Leahy 37 yard field goal,0,27
5,3.0,Jets,Freeman McNeil 32 yard pass from Richard Todd (Pat Leahy kick),0,34
6,4.0,Jets,Pat Leahy 19 yard field goal,0,37
