,Quarter,Time,Tm,Detail,MIA,TAM
0,1.0,9:37,Buccaneers,Donald Penn 1 yard pass from Mike Glennon (Rian Lindell kick),0,7
1,1.0,5:27,Buccaneers,Rian Lindell 24 yard field goal,0,10
2,2.0,13:52,Buccaneers,"Safety, Daniel Thomas tackled in end zone by Lavonte David.",0,12
3,2.0,9:01,Buccaneers,Rian Lindell 35 yard field goal,0,15
4,2.0,0:28,Dolphins,Rishard Matthews 6 yard pass from Ryan Tannehill (Caleb Sturgis kick),7,15
5,3.0,7:57,Dolphins,Caleb Sturgis 40 yard field goal,10,15
6,3.0,2:01,Dolphins,Rishard Matthews 19 yard pass from Ryan Tannehill (pass failed),16,15
7,3.0,0:10,Dolphins,Caleb Sturgis 30 yard field goal,19,15
8,4.0,10:19,Buccaneers,Bobby Rainey 1 yard rush (Rian Lindell kick),19,22
