,Quarter,Time,Tm,Detail,PIT,DET
0,2,,Steelers,Norm Johnson 30 yard field goal,3,0
1,2,,Steelers,Norm Johnson 38 yard field goal,6,0
2,2,2:00,Lions,Jason Hanson 45 yard field goal,6,3
3,3,2:00,Steelers,Will Blackwell 24 yard pass from Kordell Stewart (Norm Johnson kick),13,3
4,3,2:00,Lions,Jason Hanson 52 yard field goal,13,6
5,4,2:00,Lions,Herman Moore 21 yard pass from Charlie Batch (Jason Hanson kick),13,13
6,4,2:00,Lions,Jason Hanson 35 yard field goal,13,16
7,4,0:04,Steelers,Norm Johnson 25 yard field goal,16,16
8,OT,0:04,Lions,Jason Hanson 42 yard field goal,16,19
