,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Fuad Reveiz 50 yard field goal,3,0
1,1.0,Buccaneers,Steve Christie 40 yard field goal,3,3
2,1.0,Vikings,Herschel Walker 71 yard rush (Fuad Reveiz kick),10,3
3,2.0,Vikings,Mike Jones 5 yard pass from Rich Gannon (Fuad Reveiz kick),17,3
4,2.0,Vikings,Fuad Reveiz 40 yard field goal,20,3
5,2.0,Buccaneers,Jesse Anderson 1 yard pass from Vinny Testaverde (Steve Christie kick),20,10
6,3.0,Buccaneers,Reggie Cobb 1 yard rush (Steve Christie kick),20,17
7,3.0,Vikings,Fuad Reveiz 32 yard field goal,23,17
8,4.0,Vikings,Fuad Reveiz 50 yard field goal,26,17
9,4.0,Buccaneers,Mark Carrier 21 yard pass from Vinny Testaverde (Steve Christie kick),26,24
