,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,,Dolphins,Pete Stoyanovich 33 yard field goal,3,0
1,1.0,,Colts,Dewell Brewer 75 yard punt return (Dean Biasucci kick),3,7
2,3.0,,Dolphins,Pete Stoyanovich 19 yard field goal,6,7
3,4.0,,Colts,Dean Biasucci 19 yard field goal,6,10
