,Quarter,Tm,Detail,STL,BUF
0,2.0,Bills,Scott Norwood 35 yard field goal,0,3
1,2.0,Bills,Ricky Moore 2 yard rush (Scott Norwood kick),0,10
2,3.0,Cardinals,John Lee 27 yard field goal,3,10
3,4.0,Bills,Greg Bell 6 yard rush (Scott Norwood kick),3,17
4,4.0,Cardinals,Vai Sikahema 19 yard pass from Neil Lomax (John Lee kick),10,17
