,Quarter,Tm,Detail,RAI,SEA
0,2.0,Raiders,Willie Gault 4 yard pass from Jay Schroeder (Jeff Jaeger kick),7,0
1,2.0,Raiders,Jeff Jaeger 53 yard field goal,10,0
2,2.0,Raiders,"Safety, Harrison tackled Hitchcock in end zone",12,0
3,4.0,Raiders,Nick Bell 66 yard rush (Jeff Jaeger kick),19,0
