,Quarter,Tm,Detail,CRD,CHI
0,2.0,Bears,George Blanda 36 yard field goal,0,3
1,2.0,Cardinals,Pat Summerall 42 yard field goal,3,3
2,3.0,Bears,J.C. Caroline 3 yard rush (George Blanda kick),3,10
