,Quarter,Tm,Detail,NYJ,IND
0,2.0,Colts,Curtis Dickey 3 yard rush (Raul Allegre kick),0,7
1,2.0,Jets,Mickey Shuler 13 yard pass from Pat Ryan (Pat Leahy kick),7,7
2,3.0,Jets,Pat Leahy 29 yard field goal,10,7
3,3.0,Jets,Mickey Shuler 8 yard pass from Pat Ryan,16,7
4,4.0,Colts,Frank Middleton 3 yard rush (Raul Allegre kick),16,14
5,4.0,Jets,Greg Buttle 4 yard defensive fumble return (Pat Leahy kick),23,14
