,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Mike Cofer 47 yard field goal,0,3
1,1.0,Giants,Matt Bahr 28 yard field goal,3,3
2,2.0,Giants,Matt Bahr 42 yard field goal,6,3
3,2.0,49ers,Mike Cofer 35 yard field goal,6,6
4,3.0,49ers,John Taylor 61 yard pass from Joe Montana (Mike Cofer kick),6,13
5,3.0,Giants,Matt Bahr 46 yard field goal,9,13
6,4.0,Giants,Matt Bahr 38 yard field goal,12,13
7,4.0,Giants,Matt Bahr 42 yard field goal,15,13
